"first_name","last_name","full_name","team","twitter","instagram","sport","highlight","highlight_text","highlight_x","highlight_y","highlight_marker"
"Manny","Machado","Manny Machado","Orioles","0","438000","mlb","yes","Machado","0","888000","middle"
"Giannis","Antetokounmpo","Giannis Antetokounmpo","Bucks","568200","3900000","nba","yes","Giannis","450000","4500000","end"
"Joel","Embiid","Joel Embiid","76ers","1600000","3300000","nba","yes","Embiid","1600000","5000000","middle"
"Paul","George","Paul George","Thunder","2000000","7300000","nba","yes","George","2100000","10500000","end"
"Alex","Ovechkin","Alex Ovechkin","Capitals","2700000","1400000","nhl","null","null","null","null","null"
"Mike","Trout","Mike Trout","Angels","2500000","1500000","mlb","yes","Trout","2200000","2500000","start"
"Kyrie","Irving","Kyrie Irving","Celtics","4300000","12400000","nba","yes","Kyrie","4300000","16900000","middle"
"J.J.","Watt","J.J. Watt","Texans","5410000","3400000","nfl","yes","J.J. Watt","6010000","4000000","start"
"James","Harden","James Harden","Rockets","6100000","8900000","nba","yes","Harden","6100000","8900000","middle"
"Patrick","Kane","Patrick Kane","Blackhawks","7993000","0","nhl","yes","Kane","7993000","800","middle"
"Stephen","Curry","Stephen Curry","Warriors","13100000","23800000","nba","yes","Curry","13100000","23800000","middle"
"Kevin","Durant","Kevin Durant","Warriors","17400000","10300000","nba","yes","Durant","17400000","10300000","middle"
"Lebron","James","Lebron James","Lakers","42100000","46800000","nba","yes","Lebron","42100000","46800000","end"
"Nolan","Arenado","Nolan Arenado","Rockies","0","0","mlb","null","null","null","null","null"
"Nick","Markakis","Nick Markakis","Braves","0","0","mlb","null","null","null","null","null"
"Jose","Abreu","Jose Abreu","White Sox","0","0","mlb","null","null","null","null","null"
"Chris","Sale","Chris Sale","Red Sox","0","0","mlb","null","null","null","null","null"
"Tyron","Smith","Tyron Smith","Cowboys","0","108000","nfl","null","null","null","null","null"
"Kyle","Fuller","Kyle Fuller","Bears","0","43000","nfl","null","null","null","null","null"
"Aldrick","Rosas","Aldrick Rosas","Giants","0","22500","nfl","null","null","null","null","null"
"Cory","Littleton","Cory Littleton","Rams","0","19800","nfl","null","null","null","null","null"
"Alejandro","Villanueva","Alejandro Villanueva","Steelers","0","0","nfl","null","null","null","null","null"
"David","DeCastro","David DeCastro","Steelers","0","0","nfl","null","null","null","null","null"
"Marshal","Yanda","Marshal Yanda","Ravens","0","0","nfl","null","null","null","null","null"
"Leon","Draisaitl","Leon Draisaitl","Oilers","0","124000","nhl","null","null","null","null","null"
"Pekka","Rinne","Pekka Rinne","Predators","0","67300","nhl","null","null","null","null","null"
"Mikko","Rantanen","Mikko Rantanen","Avalanche","0","49300","nhl","null","null","null","null","null"
"Devan","Dubnyk","Devan Dubnyk","Wild","0","27800","nhl","null","null","null","null","null"
"Miro","Heiskanen","Miro Heiskanen","Stars","0","24700","nhl","null","null","null","null","null"
"Jimmy","Howard","Jimmy Howard","Red Wings","0","18600","nhl","null","null","null","null","null"
"Keith","Yandle","Keith Yandle","Panthers","0","0","nhl","null","null","null","null","null"
"Ryan","O'Reilly","Ryan O'Reilly","Blues","0","0","nhl","null","null","null","null","null"
"Sidney","Crosby","Sidney Crosby","Penguins","0","0","nhl","null","null","null","null","null"
"Marc-Andre","Fleury","Marc-Andre Fleury","Golden Nights","0","0","nhl","null","null","null","null","null"
"Jason","Myers","Jason Myers","Jets","4453","12900","nfl","null","null","null","null","null"
"Adrian","Phillips","Adrian Phillips","Chargers","9136","17900","nfl","null","null","null","null","null"
"Thomas","Chabot","Thomas Chabot","Senators","10500","29300","nhl","null","null","null","null","null"
"Clayton","Keller","Clayton Keller","Coyotes","11100","37800","nhl","null","null","null","null","null"
"Sebastian","Aho","Sebastian Aho","Hurricans","12200","120000","nhl","null","null","null","null","null"
"Xavien","Howard","Xavien Howard","Dolphins","12600","62000","nfl","null","null","null","null","null"
"Nikita","Kucherov","Nikita Kucherov","Lightning","18400","131000","nhl","null","null","null","null","null"
"Andre","Roberts","Andre Roberts","Jets","18500","0","nfl","null","null","null","null","null"
"Elias","Pettersson","Elias Pettersson","Canucks","20000","93000","nhl","null","null","null","null","null"
"John","Gibson","John Gibson","Ducks","20000","0","nhl","null","null","null","null","null"
"Jurrell","Casey","Jurrell Casey","Titans","22500","42300","nfl","null","null","null","null","null"
"Anthony","Sherman","Anthony Sherman","Chiefs","22700","38500","nfl","null","null","null","null","null"
"Mathew","Barzal","Mathew Barzal","Islanders","23400","90800","nhl","null","null","null","null","null"
"Brett","Kern","Brett Kern","Titans","24300","12300","nfl","null","null","null","null","null"
"Michael","Dickson","Michael Dickson","Seahawks","26100","64000","nfl","null","null","null","null","null"
"Jeff","Skinner","Jeff Skinner","Sabres","30600","43800","nhl","null","null","null","null","null"
"Roman","Josi","Roman Josi","Predators","33600","105000","nhl","null","null","null","null","null"
"Terron","Armstead","Terron Armstead","Saints","34800","39900","nfl","null","null","null","null","null"
"Joe","Pavelski","Joe Pavelski","Sharks","35400","25800","nhl","null","null","null","null","null"
"Wilson","Ramos","Wilson Ramos","Rays","40200","93700","mlb","null","null","null","null","null"
"Alex","Mack","Alex Mack","Falcons","41800","10000","nfl","null","null","null","null","null"
"Cam","Atkinson","Cam Atkinson","Blue Jackets","44200","43900","nhl","null","null","null","null","null"
"Seth","Jones","Seth Jones","Blue Jackets","44300","56900","nhl","null","null","null","null","null"
"Kyle","Juszczyk","Kyle Juszczyk","49ers","44900","79600","nfl","null","null","null","null","null"
"Aaron","Donald","Aaron Donald","Rams","53800","369000","nfl","null","null","null","null","null"
"Brandon","Brooks","Brandon Brooks","Eagles","55500","0","nfl","null","null","null","null","null"
"Taylor","Lewan","Taylor Lewan","Titans","59300","78900","nfl","null","null","null","null","null"
"Derwin","James","Derwin James","Chargers","63900","306000","nfl","null","null","null","null","null"
"Braden","Holtby","Braden Holtby","Capitals","69500","0","nhl","null","null","null","null","null"
"Johnny","Gaudreau","Johnny Gaudreau","Flames","69800","184000","nhl","null","null","null","null","null"
"David","Pastrnak","David Pastrnak","Bruins","71500","249000","nhl","null","null","null","null","null"
"Tarik","Cohen","Tarik Cohen","Bears","72100","174000","nfl","null","null","null","null","null"
"Mark","Scheifele","Mark Scheifele","Jets","73200","88500","nhl","null","null","null","null","null"
"Blake","Wheeler","Blake Wheeler","Jets","85600","37500","nhl","null","null","null","null","null"
"Zack","Martin","Zack Martin","Cowboys","90600","68500","nfl","null","null","null","null","null"
"Eddie","Jackson","Eddie Jackson","Bears","94800","191000","nfl","null","null","null","null","null"
"Geno","Atkins","Geno Atkins","Bengals","100000","65700","nfl","null","null","null","null","null"
"John","Carlson","John Carlson","Capitals","107900","60200","nhl","null","null","null","null","null"
"Drew","Doughty","Drew Doughty","Kings","114600","0","nhl","null","null","null","null","null"
"MYles","Garrett","MYles Garrett","Browns","119000","138000","nfl","null","null","null","null","null"
"Jose","Ramirez","Jose Ramirez","Indians","127600","123000","mlb","null","null","null","null","null"
"Jack","Eichel","Jack Eichel","Sabres","128100","234000","nhl","null","null","null","null","null"
"Ryan","Kerrigan","Ryan Kerrigan","Redskins","130000","111000","nfl","null","null","null","null","null"
"Nathan","MacKinnon","Nathan MacKinnon","Avalanche","138500","186000","nhl","null","null","null","null","null"
"Landon","Collins","Landon Collins","Giants","140000","420000","nfl","null","null","null","null","null"
"J.D.","Martinez","J.D. Martinez","Red Sox","143400","313000","mlb","null","null","null","null","null"
"Cameron","Jordan","Cameron Jordan","Saints","149000","220900","nfl","null","null","null","null","null"
